,0
insee_1,object
nom_commune_1,object
latitude_1,float64
longitude_1,float64
year_1,int64
decision_1,int64
Code Postal_1,object
Département_1,object
Région_1,object
Code Département_1,object
Code Région_1,int64
latitude_rad_1,float64
longitude_rad_1,float64
latitude_2,float64
longitude_2,float64
year_2,int32
t2m_z_sum_2,float64
t2m_z_mean_2,float64
tp_z_sum_2,float64
tp_z_mean_2,float64
e_z_sum_2,float64
e_z_mean_2,float64
pev_z_sum_2,float64
pev_z_mean_2,float64
stl1_z_sum_2,float64
stl1_z_mean_2,float64
stl2_z_sum_2,float64
stl2_z_mean_2,float64
slt_z_sum_2,float64
slt_z_mean_2,float64
swvl1_z_sum_2,float64
swvl1_z_mean_2,float64
swvl2_z_sum_2,float64
swvl2_z_mean_2,float64
t2m_sum_2,float32
t2m_mean_2,float32
tp_sum_2,float32
tp_mean_2,float32
e_sum_2,float32
e_mean_2,float32
pev_sum_2,float32
pev_mean_2,float32
stl1_sum_2,float32
stl1_mean_2,float32
stl2_sum_2,float32
stl2_mean_2,float32
slt_sum_2,float32
slt_mean_2,float32
swvl1_sum_2,float32
swvl1_mean_2,float32
swvl2_sum_2,float32
swvl2_mean_2,float32
latitude_rad_2,float64
longitude_rad_2,float64
distance_km,float64
