,0
date,datetime64[ns]
latitude,float64
longitude,float64
u10,float32
v10,float32
t2m,float64
sp,float32
tp,float32
e,float32
sro,float32
tcrw,float32
stl1,float64
stl2,float64
slt,object
swvl1,float32
swvl2,float32
cvh,float32
cvl,float32
tvh,object
tvl,object
month,int32
year,int32
u10_ref,float32
u10_delta,float32
v10_ref,float32
v10_delta,float32
t2m_ref,float64
t2m_delta,float64
sp_ref,float32
sp_delta,float32
tp_ref,float32
tp_delta,float32
e_ref,float32
e_delta,float32
sro_ref,float32
sro_delta,float32
tcrw_ref,float32
tcrw_delta,float32
stl1_ref,float64
stl1_delta,float64
stl2_ref,float64
stl2_delta,float64
swvl1_ref,float32
swvl1_delta,float32
swvl2_ref,float32
swvl2_delta,float32
cvh_ref,float32
cvh_delta,float32
cvl_ref,float32
cvl_delta,float32
