,0
date,datetime64[ns]
latitude,float64
longitude,float64
t2m,float32
tp,float32
e,float32
pev,float32
stl1,float32
stl2,float32
slt,float32
swvl1,float32
swvl2,float32
month,int32
year,int32
t2m_ref,float64
t2m_std,float64
t2m_delta,float64
t2m_z,float64
tp_ref,float64
tp_std,float64
tp_delta,float64
tp_z,float64
e_ref,float64
e_std,float64
e_delta,float64
e_z,float64
pev_ref,float64
pev_std,float64
pev_delta,float64
pev_z,float64
stl1_ref,float64
stl1_std,float64
stl1_delta,float64
stl1_z,float64
stl2_ref,float64
stl2_std,float64
stl2_delta,float64
stl2_z,float64
slt_ref,float64
slt_std,float64
slt_delta,float64
slt_z,float64
swvl1_ref,float64
swvl1_std,float64
swvl1_delta,float64
swvl1_z,float64
swvl2_ref,float64
swvl2_std,float64
swvl2_delta,float64
swvl2_z,float64
