,Missing Values,Percentage
NUM_POSTE,0,0.0
NOM_USUEL,0,0.0
LAT,0,0.0
LON,0,0.0
ALTI,0,0.0
AAAAMM,0,0.0
RR,742,0.8543269009349238
QRR,742,0.8543269009349238
NBRR,539,0.62059595633952
RR_ME,86059,99.08695251692534
RRAB,742,0.8543269009349238
QRRAB,742,0.8543269009349238
RRABDAT,1121,1.290701423110579
NBJRR1,742,0.8543269009349238
NBJRR5,742,0.8543269009349238
NBJRR10,742,0.8543269009349238
NBJRR30,742,0.8543269009349238
NBJRR50,742,0.8543269009349238
NBJRR100,742,0.8543269009349238
PMERM,85411,98.34085570856169
QPMERM,85411,98.34085570856169
NBPMERM,539,0.62059595633952
PMERMINAB,85511,98.4559941049141
QPMERMINAB,85511,98.4559941049141
PMERMINABDAT,85511,98.4559941049141
TX,53960,62.12867867176346
QTX,53960,62.12867867176346
NBTX,539,0.62059595633952
TX_ME,86817,99.95970156127666
TXAB,53960,62.12867867176346
QTXAB,53960,62.12867867176346
TXDAT,53960,62.12867867176346
TXMIN,53960,62.12867867176346
QTXMIN,53960,62.12867867176346
TXMINDAT,53960,62.12867867176346
NBJTX0,53960,62.12867867176346
NBJTX25,53960,62.12867867176346
NBJTX30,53960,62.12867867176346
NBJTX35,53960,62.12867867176346
NBJTXI20,53960,62.12867867176346
NBJTXI27,53960,62.12867867176346
NBJTXS32,53960,62.12867867176346
TN,53964,62.13328420761756
QTN,53964,62.13328420761756
NBTN,539,0.62059595633952
TN_ME,86817,99.95970156127666
TNAB,53963,62.13213282365403
QTNAB,53963,62.13213282365403
TNDAT,53963,62.13213282365403
TNMAX,53963,62.13213282365403
QTNMAX,53963,62.13213282365403
TNMAXDAT,53963,62.13213282365403
NBJTN5,53963,62.13213282365403
NBJTN10,53963,62.13213282365403
NBJTNI10,53963,62.13213282365403
NBJTNI15,53963,62.13213282365403
NBJTNI20,53963,62.13213282365403
NBJTNS20,53963,62.13213282365403
NBJTNS25,53963,62.13213282365403
NBJGELEE,53963,62.13213282365403
TAMPLIM,53966,62.13558697554461
QTAMPLIM,53966,62.13558697554461
TAMPLIAB,53965,62.13443559158108
QTAMPLIAB,53965,62.13443559158108
TAMPLIABDAT,53965,62.13443559158108
NBTAMPLI,539,0.62059595633952
TM,53966,62.13558697554461
QTM,53966,62.13558697554461
NBTM,539,0.62059595633952
TMM,76529,88.11426334454013
QTMM,76529,88.11426334454013
NBTMM,539,0.62059595633952
NBJTMS24,73844,85.02279740247778
TMMIN,53965,62.13443559158108
QTMMIN,53965,62.13443559158108
TMMINDAT,53965,62.13443559158108
TMMAX,53965,62.13443559158108
QTMMAX,53965,62.13443559158108
TMMAXDAT,53965,62.13443559158108
UNAB,78694,90.60700962556993
QUNAB,78694,90.60700962556993
UNABDAT,78694,90.60700962556993
NBUN,539,0.62059595633952
UXAB,78694,90.60700962556993
QUXAB,78694,90.60700962556993
UXABDAT,78694,90.60700962556993
NBUX,539,0.62059595633952
UMM,78943,90.89370423248745
QUMM,78943,90.89370423248745
NBUM,539,0.62059595633952
TSVM,79008,90.96854419011652
QTSVM,79008,90.96854419011652
NBTSVM,539,0.62059595633952
ETP,85177,98.07143186109704
QETP,85177,98.07143186109704
FXIAB,78319,90.17524063924837
QFXIAB,78319,90.17524063924837
DXIAB,78507,90.39170082439092
QDXIAB,78460,90.33758577810528
FXIDAT,78304,90.15796987979552
NBJFF10,78304,90.15796987979552
NBJFF16,78304,90.15796987979552
NBJFF28,78304,90.15796987979552
NBFXI,539,0.62059595633952
FXI3SAB,85695,98.66784875420255
QFXI3SAB,85695,98.66784875420255
DXI3SAB,86852,100.0
QDXI3SAB,85695,98.66784875420255
FXI3SDAT,85695,98.66784875420255
NBJFXI3S10,85695,98.66784875420255
NBJFXI3S16,85695,98.66784875420255
NBJFXI3S28,85695,98.66784875420255
NBFXI3S,65886,75.86008382075255
FXYAB,78984,90.94091097499194
QFXYAB,78984,90.94091097499194
DXYAB,79025,90.98811771749644
QDXYAB,78984,90.94091097499194
FXYABDAT,78969,90.92364021553908
NBJFXY8,78969,90.92364021553908
NBJFXY10,78969,90.92364021553908
NBJFXY15,78969,90.92364021553908
NBFXY,539,0.62059595633952
FFM,78310,90.16487818357666
QFFM,78310,90.16487818357666
NBFFM,539,0.62059595633952
INST,85402,98.33049325288997
QINST,85402,98.33049325288997
NBINST,539,0.62059595633952
NBSIGMA0,85402,98.33049325288997
NBSIGMA20,85402,98.33049325288997
NBSIGMA80,85402,98.33049325288997
GLOT,85411,98.34085570856169
QGLOT,85411,98.34085570856169
NBGLOT,539,0.62059595633952
DIFT,86598,99.70754847326486
QDIFT,86598,99.70754847326486
NBDIFT,539,0.62059595633952
DIRT,86852,100.0
QDIRT,86852,100.0
NBDIRT,539,0.62059595633952
HNEIGEFTOT,71876,82.75687376226225
QHNEIGEFTOT,71876,82.75687376226225
HNEIGEFAB,71876,82.75687376226225
QHNEIGEFAB,71876,82.75687376226225
HNEIGEFDAT,80980,93.23907336618615
NBHNEIGEF,539,0.62059595633952
NBJNEIG,62446,71.89932298622945
NBJHNEIGEF1,71876,82.75687376226225
NBJHNEIGEF5,71876,82.75687376226225
NBJHNEIGEF10,71876,82.75687376226225
NBJSOLNG,79443,91.46939621424953
NEIGETOTM,70039,80.64178142126836
QNEIGETOTM,70039,80.64178142126836
NEIGETOTAB,70039,80.64178142126836
QNEIGETOTAB,70039,80.64178142126836
NEIGETOTABDAT,80272,92.42389352001106
NBJNEIGETOT1,70038,80.64063003730485
NBJNEIGETOT10,70038,80.64063003730485
NBJNEIGETOT30,70038,80.64063003730485
NBJGREL,78409,90.27886519596555
NBJORAG,53238,61.29737945009902
NBJBROU,53819,61.96633353290656
latitude,0,0.0
longitude,0,0.0
