"Pitch_angle","Pitch_angle_std","Hub_temperature","Hub_temperature_std","Generator_converter_speed","Generator_converter_speed_std","Generator_speed","Generator_speed_std","Generator_bearing_1_temperature","Generator_bearing_1_temperature_std","Generator_bearing_2_temperature","Generator_bearing_2_temperature_std","Generator_stator_temperature","Generator_stator_temperature_std","Gearbox_bearing_1_temperature","Gearbox_bearing_1_temperature_std","Gearbox_bearing_2_temperature","Gearbox_bearing_2_temperature_std","Gearbox_inlet_temperature","Gearbox_inlet_temperature_std","Gearbox_oil_sump_temperature","Gearbox_oil_sump_temperature_std","Nacelle_angle","Nacelle_temperature_std","Absolute_wind_direction","Outdoor_temperature_std","Grid_frequency","Grid_frequency_std","Rotor_speed","Rotor_speed_std","Rotor_bearing_temperature","Rotor_bearing_temperature_std","Nacelle_angle_c","AbsWindSin","AbsWindCos","Y"
92.410004,0,8.2399998,0.28,3.9200001,0.0099999998,0.17,0.80000001,7.6999998,0.0099999998,6.8400002,0.02,4.9000001,0.02,2.3900001,0.0099999998,2.4200001,0.07,2.01,0,2.0999999,0.0099999998,302.89999,0.090000004,301.44,0.0099999998,49.98,0.0099999998,0,0,2.3800001,0.059999999,302.89999,-0.85318685595932,0.521605395695108,-2.72699989
92.410004,0,6.8299999,0.49000001,3.9300001,0.38,0.17,1.89,7.6999998,0,6.8499999,0.029999999,4.7800002,0.07,2.3,0.0099999998,2.3299999,0.050000001,2.3,0.02,2.1099999,0.0099999998,302.89999,0.090000004,303.25,0.079999998,0,22.26,0,0,2.3199999,0.029999999,302.89999,-0.836286155847759,0.548293229519914,0.1
92.410004,0,2,0,4.2600002,0.02,0,0.050000001,-1.6900001,0.1,-2.6400001,0.1,-2.5999999,0.0099999998,-1.9,0.0099999998,-1.3,0,-1,0.039999999,1.75,0.20999999,301.81,0.23,84.379997,0.19,50,0.0099999998,0,0,-2.0999999,0.07,301.81,0.995193271364295,0.0979303458139172,-4.99300011
92.410004,0,3.96,0.44,4.0900002,0.0099999998,0.059999999,0.34,-0.23,0.050000001,-1.35,0.029999999,-2.48,0.029999999,-1.7,0,-1.2,0,-1.05,0.029999999,0.83999997,0.31,79,0.12,76.830002,0.0099999998,49.959999,0.0099999998,0,0,-2.0799999,0.039999999,79,0.973698341600758,0.227841040122129,-4.54199978
92.410004,0,4,0,4.46,0.02,0.43000001,0.36000001,0.75,0.029999999,-0.5,0.039999999,-2.28,0.0099999998,-1.6,0.050000001,-1.01,0.059999999,-1.2,0.0099999998,0.17,0.02,69.120003,0.15000001,59.27,0.0099999998,49.990002,0.0099999998,0,0,-2.02,0.029999999,69.120003,0.859584834095691,0.510993065503519,-3.145
92.410004,0,4.0300002,0,4.5599999,1.63,1.02,1.64,1.36,0,0.02,0.02,-2.1300001,0.029999999,-1.5,0,-1,0,-1.3,0.0099999998,-0.23,0.02,85.589996,0.12,71.400002,0.0099999998,49.98,0.0099999998,0,0,-2,0.0099999998,85.589996,0.947768421143365,0.318959276214711,-3.13400011
92.410004,0,2,0.0099999998,5.5,2.5899999,6.4000001,5.25,-2.49,0.07,-3.48,0.090000004,-2.5999999,0.050000001,-2.4100001,0.0099999998,-2.01,0.029999999,-3.9000001,0.079999998,-1.47,0.039999999,58.150002,0.22,59.950001,0.059999999,49.990002,0.0099999998,0,0,-3.2,0,58.150002,0.865588750508645,0.500755544145926,-4.97100011
92.410004,0,3.72,0.49000001,4.1500001,2.1900001,3.27,6.0799999,-1.1,0.050000001,-2.3499999,0.090000004,-2.5999999,0.0099999998,-2.25,0.039999999,-1.99,0.02,-3.3,0.029999999,-1.4,0.0099999998,44.98,0.13,55.57,0.050000001,50.029999,0.0099999998,0,0.029999999,-3,0.0099999998,44.98,0.824817569155792,0.565398954378171,-4.72899989
92.410004,0,4,0,4.3000002,1.42,4.4699998,7.4299998,0.62,0,-0.67000002,0.0099999998,-2.5,0.0099999998,-1.9400001,0.039999999,-1.66,0.050000001,-3.1800001,0.07,-1.4,0.0099999998,50.470001,0.12,54.610001,0.029999999,50.009998,0.0099999998,0,0.039999999,-3,0,50.470001,0.815228897058337,0.579138882653416,-4.37700022
92.410004,0,4,0,4.4699998,1.14,1.04,1.78,1,0.050000001,-0.40000001,0,-2.5,0.0099999998,-2,0.02,-1.8,0.02,-3.0799999,0.059999999,-1.49,0.029999999,50.470001,0.18000001,50.52,0.02,49.98,0.0099999998,0,0,-3.05,0.050000001,50.470001,0.771846569558035,0.635808833739744,-3.706
