"Pitch_angle","Pitch_angle_std","Hub_temperature","Hub_temperature_std","Generator_converter_speed","Generator_converter_speed_std","Generator_speed","Generator_speed_std","Generator_bearing_1_temperature","Generator_bearing_1_temperature_std","Generator_bearing_2_temperature","Generator_bearing_2_temperature_std","Generator_stator_temperature","Generator_stator_temperature_std","Gearbox_bearing_1_temperature","Gearbox_bearing_1_temperature_std","Gearbox_bearing_2_temperature","Gearbox_bearing_2_temperature_std","Gearbox_inlet_temperature","Gearbox_inlet_temperature_std","Gearbox_oil_sump_temperature","Gearbox_oil_sump_temperature_std","Nacelle_angle","Nacelle_temperature_std","Absolute_wind_direction","Outdoor_temperature_std","Grid_frequency","Grid_frequency_std","Rotor_speed","Rotor_speed_std","Rotor_bearing_temperature","Rotor_bearing_temperature_std","Nacelle_angle_c","AbsWindSin","AbsWindCos","Y"
-1.01,0,20.969999,0.23,1423.75,63.220001,1424.6899,63.330002,40.16,0.23999999,37.970001,0.2,58.369999,0.61000001,62.32,0.72000003,66.349998,0.44999999,55.310001,0.46000001,57.029999,0.31999999,241.44,1.5,233.11,0.07,50.049999,0.0099999998,13.55,0.60000002,35.619999,0.02,241.44,-0.79978943940494,-0.600280644878987,385.199
89.980003,0,22,0,2.98,0.0099999998,0,0,39.860001,0.090000004,39.220001,0.039999999,56.310001,0.12,47.32,0.23999999,51.560001,0.19,46.209999,0.23,52.389999,0.23,79,0.039999999,34.799999,0.029999999,50,0.0099999998,0,0,30.59,0.1,79,0.570713553352674,0.821149219094535,-4.45399989
91.949997,0,26,0,2.8499999,0.0099999998,0,0,37.970001,0.11,30.41,0.12,47.939999,0.12,35.689999,0.15000001,40.669998,0.15000001,30.23,1.41,42.41,0.23999999,52.66,0.14,234.50999,0.079999998,50.02,0.0099999998,0,0,27.959999,0.039999999,52.66,-0.814216756414651,-0.580560999011822,-2.001
-1,0,22,0.02,1447.54,69.230003,1448.6,69.360001,42.439999,0.19,40.549999,0.41,57.32,0.52999997,54.099998,2.3099999,58.970001,2.79,49.119999,0.73000002,50.560001,0.64999998,280.95001,0.33000001,289.57001,0.27000001,49.98,0.0099999998,13.78,0.66000003,28.41,0.20999999,280.95001,-0.942232907214008,0.334958428111666,409.619011
-1,0,13,0,992.89001,57,993.65997,57.130001,35.43,0.15000001,35,0.079999998,57.860001,0.33000001,50.970001,0.34,52.540001,0.36000001,47.060001,0.079999998,48.560001,0.079999998,65.830002,0.64999998,77.480003,0.1,50.009998,0.0099999998,9.4300003,0.55000001,25.940001,0.02,65.830002,0.976220407314808,0.216780341226113,90.85
-1,0,20,0,1798.28,1.0700001,1799.96,1.0700001,42.669998,0.55000001,37.790001,0.23,65.120003,0.63,65.360001,0.14,71.220001,0.059999999,47.889999,0.14,56.400002,0.1,349,0.22,345.13,0.079999998,50.029999,0.0099999998,17.139999,0.02,36.330002,0.07,349,-0.25662676459871,0.966510581262098,1079.518978
-1,0,13.36,0.40000001,1678.34,97.910004,1680.47,98.110001,38.009998,0.25999999,34.450001,0.11,58.619999,0.54000002,61.169998,0.63,69.150002,0.41,47.919998,0.27000001,56.099998,0.17,67.269997,0.55000001,69.120003,0.1,49.990002,0.0099999998,16,0.94,32.16,0.1,67.269997,0.934328961118293,0.356411829791901,722.238989
14.84,20.950001,29.67,0.41,656.23999,82.139999,656.21002,82.25,45.43,0.47,44.959999,0.28999999,61.98,0.63,60.759998,0.51999998,62.200001,0.81,56.66,0.23,57.959999,0.11,187.66,0.37,185.32001,0.2,49.990002,0.0099999998,6.23,0.77999997,36.490002,0.029999999,187.66,-0.0927183290816045,-0.995692377922175,11.155
-1,0,23,0,1663.15,101.95,1664.54,102.12,44.639999,0.31999999,39.810001,0.13,63.790001,0.49000001,62.889999,0.69999999,68.160004,0.63999999,49.580002,0.28,55.689999,0.27000001,14.25,0.11,3.99,0,50.049999,0.0099999998,15.84,0.98000002,35.900002,0.039999999,14.25,0.0695823649107917,0.997576209867407,661.299033
-1,0,24,0.02,1550.11,59.889999,1551.53,60,41.639999,1.1900001,38.630001,0.73000002,60.360001,1.28,57.91,0.89999998,67.050003,0.47,45.82,0.81,55.619999,0.63999999,192.05,0.87,200.49001,0.050000001,49.990002,0.0099999998,14.76,0.56999999,35.84,0.11,192.05,-0.350044059279989,-0.936733236606232,515.043
37.66,16.67,30.91,0.38,228.41,132.84,227.82001,133.14999,37.59,0.13,37.549999,0.12,44.099998,0.83999997,43.459999,1.79,42.060001,1.0599999,39.700001,0.40000001,40.470001,0.49000001,102.05,0.0099999998,78.93,0.38999999,50,0.0099999998,2.1400001,1.28,30.27,0.090000004,102.05,0.981393333740113,0.19200813652152,-5.55399989
-1,0,27.26,0.34999999,1107.62,13.69,1108.55,13.72,40.93,0.18000001,38.639999,0.18000001,58.93,0.46000001,61.139999,0.079999998,64.910004,0.13,56.18,0.13,58.009998,0.079999998,59.25,0.94999999,55.279999,0.02,50,0.0099999998,10.53,0.13,36.490002,0.029999999,59.25,0.821945264965123,0.569566485497009,149.92
4.98,4.2800002,17,0.1,1799.6899,23.940001,1801.51,23.98,26.860001,0.11,35.32,0.079999998,66.589996,0.41,73.269997,0.1,73.300003,0.1,39.82,0.50999999,52.119999,0.11,257.89999,0.090000004,263.67999,0.07,50.02,0.0099999998,17.15,0.23,33.599998,0.029999999,257.89999,-0.993922571186955,-0.110081435696998,2106.072
-1.01,0,22,0,1051.99,42.540001,1052.8,42.619999,42.57,0.34,41.380001,0.17,59.32,0.50999999,60.970001,0.14,63.970001,0.22,55.639999,0.1,57.380001,0.079999998,137.17,0.64999998,120.23,0.07,50.009998,0.0099999998,10,0.41,36.189999,0.02,137.17,0.864011302864663,-0.503472410884755,121.001
44.98,0,15.44,0.43000001,66.449997,8.6599998,65.440002,8.6999998,40.189999,0.079999998,38.200001,0.0099999998,55.130001,0.14,48.93,0.30000001,51.369999,0.34,48.98,0.25999999,51.93,0.14,262.29001,0.1,297.87,0.0099999998,50,0.0099999998,0.62,0.079999998,27.940001,0.11,262.29001,-0.884010516410631,0.46746701153708,-3.97
-1,0,31,0,1779.2,19.9,1780.33,19.93,40.720001,0.23,42.279999,0.12,62.43,0.5,67.330002,0.19,71.739998,0.079999998,50.119999,0.16,58.07,0.13,174.95,0.1,182.53999,0.039999999,50.060001,0.0099999998,16.950001,0.19,40.790001,0.0099999998,174.95,-0.0443166695515597,-0.999017533779992,939.225
-1.01,0,20,0,1691.15,194.69,1693.16,195.05,41.689999,0.23999999,42.16,0.25999999,59.290001,0.49000001,64.410004,0.62,70.209999,0.52999997,50.509998,0.28,57.779999,0.28999999,4.3699999,0.81999999,359.57001,0.16,50,0.0099999998,16.120001,1.87,35.599998,0.079999998,4.3699999,-0.00750467080491678,0.99997183956155,731.016967
89.980003,0,12,0,3.5799999,0.0099999998,0,0,16.889999,0.0099999998,15.2,0.029999999,21.09,0.079999998,20.1,0.0099999998,23.1,0.02,22.040001,0.66000003,25.32,0.13,122.9,0.039999999,94.129997,0.090000004,50.02,0.029999999,0,0,12.5,0.02,122.9,0.997403214002261,-0.0720196410568721,-4.50900011
89.980003,0,7,0,4,0.02,0,0.16,8.8000002,0.0099999998,7.6399999,0.059999999,5.1700001,0.07,14.57,0.1,17.110001,0.039999999,17.299999,0.94,21.049999,0.17,266.67999,0.30000001,158.57001,0.059999999,49.990002,0.0099999998,0,0,3.3,0,266.67999,0.36536407151749,-0.930864702974692,-5.31200011
4.1599998,3.54,16.610001,0.36000001,1798.78,18.73,1800.6801,18.780001,31.049999,0.55000001,35.869999,0.07,66.080002,0.61000001,72.349998,0.54000002,73.650002,0.19,40.040001,0.25,53.189999,0.17,252.42,0.41999999,251.86,0.07,49.939999,0.0099999998,17.15,0.18000001,30.23,0.090000004,252.42,-0.950298606946276,-0.311339939031225,2115.532
-1,0,20,0,1724.49,71.470001,1726.04,71.589996,36.540001,0.40000001,40.950001,0.1,59.720001,0.44999999,64.25,0.46000001,69.940002,0.34999999,49.720001,0.69999999,56.18,0.18000001,219.49001,1.22,221.13,0.039999999,50.009998,0.0099999998,16.43,0.69,36.98,0.12,219.49001,-0.657769720534036,-0.75321908814672,813.538989
44.98,0,13,0,148.12,6.6300001,146.39,6.6399999,40.950001,0.039999999,36.389999,0.15000001,55.049999,0.28999999,46.959999,0.1,49.220001,0.13,48.349998,0.12,51,0.13,279.85001,0.15000001,270.64001,0.02,49.98,0.0099999998,1.39,0.059999999,27.209999,0.1,279.85001,-0.99993761305156,0.0111700494514588,-2.056
-1,0,23.5,0.41999999,1575.9399,136.11,1577.29,136.32001,46.18,1,42.27,0.41,64.239998,0.83999997,67.129997,0.44,69.879997,0.56999999,57.790001,0.22,59.470001,0.31999999,58.150002,1.35,59.529999,0.029999999,50,0.0099999998,15.01,1.3,37.66,0.12,58.150002,0.861894779934197,0.507087160478533,572.275967
-1.01,0,9,0,981.95001,10.13,982.15002,10.15,40.060001,0.20999999,42,0.23999999,64.580002,0.51999998,57.02,0.49000001,60.369999,0.75,54.759998,0.17,56.740002,0.15000001,38.389999,0.18000001,37,0.02,49.970001,0.0099999998,9.3199997,0.1,25.85,0.050000001,38.389999,0.601815023152048,0.798635510047293,81.8960011
20.1,21.559999,5.6399999,0.44999999,649.75,462.67001,648.57001,463.82999,37.049999,0.11,42.259998,0.19,63,0.40000001,46.810001,0.75999999,50.119999,0.56999999,46.82,0.47999999,49.549999,0.23999999,14.25,0.1,14.94,0.44,49.970001,0.039999999,6.1500001,4.4099998,21.280001,0.18000001,14.25,0.25780738821406,0.966196331281715,63.4819989
-1,0,25.99,0.050000001,1523.74,173.16,1525.05,173.45,42.09,0.38,43.91,0.1,59.349998,0.56,60.810001,0.70999998,66.360001,0.75,49.599998,0.44999999,56,0.15000001,338.03,0.41999999,336.45001,0.13,50,0.0099999998,14.51,1.66,35.689999,0.07,338.03,-0.39954904288173,0.916711820766097,499.939989
44.990002,0,27.24,0.41999999,19.719999,6.73,17.92,7.9299998,39.119999,0.079999998,38.889999,0.02,51.790001,0.1,42.080002,0.039999999,45.799999,0.039999999,43.189999,0.2,48.43,0.25,300.70999,0.050000001,259.62,0.059999999,49.990002,0.0099999998,0.090000004,0.12,30.15,0.059999999,300.70999,-0.983634423958456,-0.180175803047789,-1.385
-1,0,24,0,953.29999,40.529999,953.96002,40.599998,43.48,0.37,44.529999,0.31,63.110001,0.56999999,58.220001,0.2,59.75,0.16,55.209999,0.1,56.689999,0.059999999,171.2,0.23999999,164.25,0.13,50,0.0099999998,9.0500002,0.38999999,32.869999,0.079999998,171.2,0.271440449865075,-0.962455236453647,56.4309989
33.52,18.799999,13.84,0.11,345.60001,8.8800001,344.42999,8.8800001,40.009998,0.12,36.869999,0.25,51.939999,0.31,44.419998,0.059999999,45.91,0.090000004,45.950001,0.1,47.360001,0.090000004,267.78,0.0099999998,269.85999,0.059999999,50.009998,0.0099999998,3.26,0.079999998,24.84,0.059999999,267.78,-0.999997014324292,-0.0024436330537498,2.575
-1,0,29,0,947.72998,6.6399999,948.20001,6.6399999,44.990002,0.44,42.759998,0.25,62.240002,0.54000002,60.310001,0.14,61.830002,0.13,56.630001,0.11,58.049999,0.059999999,37.290001,0.31999999,47.040001,0.039999999,50,0.0099999998,9,0.059999999,36.700001,0.0099999998,37.290001,0.731829659923294,0.681487599928683,58.4109978
89.980003,0,8.3299999,0.34999999,3.8,0.28999999,0,0.5,9.4899998,0.029999999,7.4400001,0.02,5.3499999,0.050000001,18.469999,0.11,18.85,0.039999999,20.870001,0.88,25.389999,0.50999999,307.29001,0.11,313.57999,0.050000001,50,0.029999999,0,0,4.96,0.07,307.29001,-0.724412660263171,0.689366591626281,-4.77299978
89.980003,0,5.7399998,0.23999999,4.0500002,0.0099999998,0.02,0.52999997,8.8100004,0.0099999998,7.1999998,0.0099999998,4.9099998,0.0099999998,18.02,0.07,17.799999,0,24.24,0.039999999,26.809999,0.37,267.78,0.1,260.47,0.029999999,50,0.0099999998,0,0,2.2,0,267.78,-0.98619904761894,-0.165564001146067,-6.34600011
-1.01,0,11,0,1083.29,80.239998,1084.08,80.410004,42.759998,0.23999999,38.07,0.22,60.650002,0.55000001,60.549999,0.63,64.160004,0.83999997,55.060001,0.15000001,57.009998,0.14,263.39001,0.059999999,256.25,0.050000001,50.009998,0,10.29,0.76999998,29.1,0.02,263.39001,-0.971342069813261,-0.237685892326173,139.074
44.98,0,12.96,0.16,76.709999,10.39,75.139999,10.43,19.9,0.0099999998,18.190001,0.039999999,26.049999,0.050000001,26.389999,0.050000001,27.65,0.050000001,25.4,1.02,29.530001,0.079999998,46.07,0.02,77.18,0,49.98,0.0099999998,0.70999998,0.1,14.8,0.0099999998,46.07,0.975071959882912,0.221888875453675,-2.155
-1,0,35,0,1712.49,14.82,1713.62,14.84,42.130001,0.28999999,43.240002,0.16,60.830002,0.63,66.629997,0.25,71.099998,0.23,50.459999,0.12,57.740002,0.14,201.92999,0.11,201.81,0.02,50.009998,0.0099999998,16.309999,0.14,41.48,0.079999998,201.92999,-0.371529881240528,-0.928420996824931,710.7
89.980003,0,8,0.38999999,4.5999999,0.029999999,0.27000001,0.20999999,19.379999,0.07,16.16,0.13,26.23,0.1,21.27,0.079999998,24.6,0.059999999,22.41,0.64999998,27.9,0.28999999,263.39001,0.14,268.39001,0.029999999,50.02,0.02,0,0,11.21,0.059999999,263.39001,-0.999605231473844,-0.028095928710824,-4.71800011
-1.01,0,11.01,0,1625.8101,175.21001,1627.5,175.57001,45.310001,0.36000001,41.740002,0.31,64.540001,0.60000002,65.75,0.56999999,70.239998,0.63999999,54.52,0.23,59.529999,0.18000001,193.14999,0.25,196.66,0.090000004,50.02,0.0099999998,15.49,1.6799999,31.33,0.039999999,193.14999,-0.286691763628628,-0.958022876901959,677.402978
-1.01,0,24,0,1798.21,3.1500001,1799.88,3.1600001,33.52,0.28999999,34.66,0.17,59.650002,0.54000002,65.400002,0.54000002,70.949997,0.25999999,48.849998,0.57999998,56.91,0.27000001,19.23,1.08,359.48001,0.059999999,50.029999,0.0099999998,17.139999,0.029999999,36.84,0.02,19.23,-0.00907541299293877,0.999958817591508,1108.262
44.990002,0,34.990002,0.029999999,125.38,13.33,124.58,13.32,43.740002,0.12,45.73,0.11,59.599998,0.27000001,53.369999,0.22,54.869999,0.25999999,54.029999,0.38,55.73,0.12,185.46001,0.66000003,189.88,0.16,49.990002,0.0099999998,1.1799999,0.13,39.970001,0.11,185.46001,-0.171585221787202,-0.985169280714861,-2.16599989
-1,0,31,0,926.69,2.29,926.81,2.28,46.060001,0.63999999,45.459999,0.34,63.52,0.58999997,58.419998,0.41,59.220001,0.47999999,55.189999,0.14,56.549999,0.090000004,166.81,0.77999997,165.89999,0.090000004,49.990002,0.0099999998,8.79,0.02,37.799999,0.039999999,166.81,0.243615181060619,-0.969871972765891,15.28
44.990002,0,29,0,103.99,10.5,103.01,10.51,45.990002,0.02,44.549999,0.090000004,54.529999,0.14,49.240002,0.1,50.27,0.1,50.279999,0.079999998,51.439999,0.07,122.82,0.079999998,111.06,0.050000001,49.990002,0.0099999998,0.97000003,0.1,32.700001,0,122.82,0.933204632633899,-0.359345396005891,-2.925
-1.01,0,15,0,926.52002,0.44999999,926.97998,0.41,26.32,0.31,24.139999,0.34999999,35.099998,0.66000003,44.790001,0.20999999,42.880001,0.41999999,35.639999,0.28999999,37.66,0.12,357.78,0.090000004,12.39,0.050000001,50.009998,0.0099999998,8.8000002,0.02,21.379999,0.12,357.78,0.214564862427624,0.976709741843202,53.5710011
-1,0,27,0,1017.26,75.989998,1017.8,76.120003,41.619999,0.58999997,43.110001,0.44999999,59.560001,0.72000003,60.349998,0.20999999,62.34,0.31999999,56.630001,0.17,58.32,0.059999999,43.57,0.25999999,14.09,0.16,49.950001,0.0099999998,9.6599998,0.73000002,35.279999,0.059999999,43.57,0.243445733476516,0.969914519353165,102.7190011
11.37,3.8399999,18,0,1798.77,32.330002,1800.9399,32.400002,32.330002,0.12,39.869999,0.059999999,78.099998,0.37,75.220001,0.07,75.129997,0.050000001,43.610001,0.41999999,55.07,0.11,246.92999,0.039999999,240.12,0.13,49.990002,0.0099999998,17.15,0.31,31.9,0.0099999998,246.92999,-0.86707070116449,-0.498185105339491,2232.264
-1,0.0099999998,20,0,1008.66,61.299999,1009.1,61.419998,38.82,0.85000002,39.970001,0.68000001,58.82,1.04,55.82,0.11,58.360001,0.14,51.450001,0.34999999,53.310001,0.090000004,35.450001,0.47,25.08,0.18000001,50.02,0.0099999998,9.5799999,0.58999997,30.25,0.0099999998,35.450001,0.423883293765182,0.905716817369966,97.8679967
